"date","Country.Territory","Admin1","ISOCODE","Confirmed.cases","Confirmed.deaths","Suspected.cases","Suspected.deaths","Probable.cases","Probable.deaths","Hospitalized.deaths","Hospitalized.cases"
2024-02-08,"Haiti","TOTAL","HTI",4608,1169,79347,285,NA,NA,884,74244
2024-02-08,"Haiti","Ouest","HT-OU",2029,210,28190,0,0,0,NA,NA
2024-02-08,"Haiti","Artibonite","HT-AR",305,0,11578,0,0,0,NA,NA
2024-02-08,"Haiti","Centre","HT-CE",546,0,15771,0,0,0,NA,NA
2024-02-08,"Haiti","Nord","HT-ND",252,0,6877,0,0,0,NA,NA
2024-02-08,"Haiti","Sud","HT-SD",205,0,3167,0,0,0,NA,NA
2024-02-08,"Haiti","Nord-Est","HT-NE",265,0,2913,0,0,0,NA,NA
2024-02-08,"Haiti","Nord-Ouest","HT-NO",139,0,3591,0,0,0,NA,NA
2024-02-08,"Haiti","Grand Anse","HT-GA",377,0,2234,0,0,0,NA,NA
2024-02-08,"Haiti","Sud-Est","HT-SE",339,0,2112,0,0,0,NA,NA
2024-02-08,"Haiti","Nippes","HT-NI",151,0,2914,0,0,0,NA,NA
2024-02-08,"Haiti","Undetermined",NA,0,959,0,0,0,0,NA,NA
2024-02-08,"Haiti","Prison",NA,14,14,368,0,0,0,NA,NA
2024-02-08,"Dominican Republic","TOTAL","DOM",149,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Azua","DO-02",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Baoruco","DO-03",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Barahona","DO-04",34,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Dajabon","DO-05",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Distrito Nacional*","DO-01",19,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Duarte","DO-06",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","El Seibo","DO-08",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Elias Pina","DO-07",8,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Espaillat","DO-09",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Hato Mayor","DO-30",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Hermanas Mirabal","DO-19",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Independencia","DO-10",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","La Altagracia*","DO-11",1,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","La Romana","DO-12",17,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","La Vega","DO-13",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Maria Trinidad Sanchez","DO-14",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Monsenor Nouel","DO-28",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Monte Cristi","DO-15",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Monte Plata","DO-29",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Pedernales","DO-16",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Peravia","DO-17",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Puerto Plata","DO-18",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Samana","DO-20",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","San Cristobal","DO-21",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","San Jose de Ocoa","DO-31",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","San Juan","DO-22",2,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","San Pedro de Macoris","DO-23",3,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Sanchez Ramirez","DO-24",0,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Santiago","DO-25",25,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Santiago Rodriguez","DO-26",1,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Santo Domingo","DO-32",39,0,0,0,0,0,NA,NA
2024-02-08,"Dominican Republic","Valverde","DO-27",0,0,0,0,0,0,NA,NA
2024-01-26,"Haiti","TOTAL","HTI",4608,1169,79347,285,NA,NA,884,74244
2024-01-26,"Haiti","Ouest","HT-OU",2029,210,28190,0,0,0,NA,NA
2024-01-26,"Haiti","Artibonite","HT-AR",305,0,11578,0,0,0,NA,NA
2024-01-26,"Haiti","Centre","HT-CE",546,0,15771,0,0,0,NA,NA
2024-01-26,"Haiti","Nord","HT-ND",252,0,6877,0,0,0,NA,NA
2024-01-26,"Haiti","Sud","HT-SD",205,0,3167,0,0,0,NA,NA
2024-01-26,"Haiti","Nord-Est","HT-NE",265,0,2913,0,0,0,NA,NA
2024-01-26,"Haiti","Nord-Ouest","HT-NO",139,0,3591,0,0,0,NA,NA
2024-01-26,"Haiti","Grand Anse","HT-GA",377,0,2234,0,0,0,NA,NA
2024-01-26,"Haiti","Sud-Est","HT-SE",339,0,2112,0,0,0,NA,NA
2024-01-26,"Haiti","Nippes","HT-NI",151,0,2914,0,0,0,NA,NA
2024-01-26,"Haiti","Undetermined",NA,0,959,0,0,0,0,NA,NA
2024-01-26,"Haiti","Prison",NA,14,14,368,0,0,0,NA,NA
2024-01-26,"Dominican Republic","TOTAL","DOM",111,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Azua","DO-02",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Baoruco","DO-03",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Barahona","DO-04",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Dajabon","DO-05",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Distrito Nacional*","DO-01",2,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Duarte","DO-06",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","El Seibo","DO-08",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Elias Pina","DO-07",2,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Espaillat","DO-09",0,0,0,0,0,0,NA,NA
