"date","Agegroup","Male","Female"
2024-02-08,"<1y",1027,856
2024-02-08,"1-4y",8734,7255
2024-02-08,"5-9y",6404,5442
2024-02-08,"10-14y",3462,2982
2024-02-08,"15-19y",2297,2467
2024-02-08,"20-29y",5555,4923
2024-02-08,"30-39y",4836,3951
2024-02-08,"40-49y",3714,2968
2024-02-08,"50-59y",2661,2494
2024-02-08,"60-69y",1926,2053
2024-02-08,"70-79y",1165,1253
2024-02-08,"80y+",455,548
2024-01-26,"<1y",1027,856
2024-01-26,"1-4y",8734,7255
2024-01-26,"5-9y",6404,5442
2024-01-26,"10-14y",3462,2982
2024-01-26,"15-19y",2297,2467
2024-01-26,"20-29y",5555,4923
2024-01-26,"30-39y",4836,3951
2024-01-26,"40-49y",3714,2968
2024-01-26,"50-59y",2661,2494
2024-01-26,"60-69y",1926,2053
2024-01-26,"70-79y",1165,1253
2024-01-26,"80y+",455,548
2024-01-12,"<1y",1027,854
2024-01-12,"1-4y",8700,7230
2024-01-12,"5-9y",6350,5404
2024-01-12,"10-14y",3431,2959
2024-01-12,"15-19y",2286,2456
2024-01-12,"20-29y",5520,4880
2024-01-12,"30-39y",4803,3917
2024-01-12,"40-49y",3697,2950
2024-01-12,"50-59y",2642,2483
2024-01-12,"60-69y",1914,2037
2024-01-12,"70-79y",1149,1232
2024-01-12,"80y+",447,537
2024-01-02,"<1y",1020,848
2024-01-02,"1-4y",8614,7162
2024-01-02,"5-9y",6269,5348
2024-01-02,"10-14y",3368,2913
2024-01-02,"15-19y",2251,2405
2024-01-02,"20-29y",5433,4797
2024-01-02,"30-39y",4734,3841
2024-01-02,"40-49y",3631,2879
2024-01-02,"50-59y",2579,2428
2024-01-02,"60-69y",1880,1985
2024-01-02,"70-79y",1125,1204
2024-01-02,"80y+",431,521
2023-12-19,"<1y",1007,831
2023-12-19,"1-4y",8509,7088
2023-12-19,"5-9y",6168,5281
2023-12-19,"10-14y",3327,2874
2023-12-19,"15-19y",2223,2372
2023-12-19,"20-29y",5375,4737
2023-12-19,"30-39y",4680,3777
2023-12-19,"40-49y",3578,2836
2023-12-19,"50-59y",2535,2387
2023-12-19,"60-69y",1844,1943
2023-12-19,"70-79y",1097,1183
2023-12-19,"80y+",425,511
2023-12-11,"<1y",999,825
2023-12-11,"1-4y",8454,7033
2023-12-11,"5-9y",6094,5234
2023-12-11,"10-14y",3291,2846
2023-12-11,"15-19y",2201,2355
2023-12-11,"20-29y",5323,4684
2023-12-11,"30-39y",4643,3731
2023-12-11,"40-49y",3546,2819
2023-12-11,"50-59y",2510,2368
2023-12-11,"60-69y",1811,1908
2023-12-11,"70-79y",1083,1162
2023-12-11,"80y+",416,504
2023-11-20,"<1y",967,784
2023-11-20,"1-4y",8126,6750
2023-11-20,"5-9y",5791,4998
2023-11-20,"10-14y",3089,2682
2023-11-20,"15-19y",2080,2231
2023-11-20,"20-29y",5056,4465
2023-11-20,"30-39y",4422,3572
2023-11-20,"40-49y",3369,2678
2023-11-20,"50-59y",2386,2251
2023-11-20,"60-69y",1691,1804
2023-11-20,"70-79y",1022,1093
2023-11-20,"80y+",390,469
2023-11-11,"<1y",963,784
2023-11-11,"1-4y",8036,6673
2023-11-11,"5-9y",5716,4924
2023-11-11,"10-14y",3047,2664
2023-11-11,"15-19y",2053,2202
2023-11-11,"20-29y",5006,4413
2023-11-11,"30-39y",4388,3524
2023-11-11,"40-49y",3343,2647
2023-11-11,"50-59y",2360,2202
2023-11-11,"60-69y",1645,1793
2023-11-11,"70-79y",1005,63
2023-11-11,"80y+",384,463
2023-10-31,"<1y",954,774
2023-10-31,"1-4y",7842,6499
2023-10-31,"5-9y",5522,4758
2023-10-31,"10-14y",2946,2577
2023-10-31,"15-19y",1985,2135
2023-10-31,"20-29y",4881,4279
2023-10-31,"30-39y",4269,3412
2023-10-31,"40-49y",3239,2591
2023-10-31,"50-59y",2288,2143
2023-10-31,"60-69y",1599,1742
2023-10-31,"70-79y",968,1028
2023-10-31,"80y+",363,454
2023-10-22,"<1y",942,757
2023-10-22,"1-4y",7616,6298
2023-10-22,"5-9y",5308,4568
2023-10-22,"10-14y",2812,2483
2023-10-22,"15-19y",1897,2060
2023-10-22,"20-29y",4694,4129
2023-10-22,"30-39y",4102,3288
2023-10-22,"40-49y",3129,2466
2023-10-22,"50-59y",2187,2069
2023-10-22,"60-69y",1540,1652
2023-10-22,"70-79y",919,979
2023-10-22,"80y+",344,439
2023-10-08,"<1y",938,751
2023-10-08,"1-4y",7492,6204
2023-10-08,"5-9y",5232,4494
2023-10-08,"10-14y",2746,2420
2023-10-08,"15-19y",1858,2013
2023-10-08,"20-29y",4620,4048
2023-10-08,"30-39y",4067,3238
2023-10-08,"40-49y",3076,2431
2023-10-08,"50-59y",2142,2035
2023-10-08,"60-69y",1497,1608
2023-10-08,"70-79y",905,956
2023-10-08,"80y+",341,429
2023-10-05,"<1y",921,738
2023-10-05,"1-4y",7407,6128
2023-10-05,"5-9y",5162,4423
2023-10-05,"10-14y",2693,2380
2023-10-05,"15-19y",1830,1980
2023-10-05,"20-29y",4558,3997
2023-10-05,"30-39y",4023,3195
2023-10-05,"40-49y",3031,2387
2023-10-05,"50-59y",2106,1996
2023-10-05,"60-69y",1470,1573
2023-10-05,"70-79y",887,927
2023-10-05,"80y+",332,427
2023-10-03,"<1y",921,737
2023-10-03,"1-4y",7401,6122
2023-10-03,"5-9y",5155,4417
2023-10-03,"10-14y",2691,2378
2023-10-03,"15-19y",1829,1980
2023-10-03,"20-29y",4556,3993
2023-10-03,"30-39y",4023,3193
2023-10-03,"40-49y",3030,2386
2023-10-03,"50-59y",2105,1996
2023-10-03,"60-69y",1468,1571
2023-10-03,"70-79y",886,925
