"Date","Suspected"
2022-09-29,3.469601438422
2022-09-30,3.663483832363
2022-10-01,3.663995451053
2022-10-02,11
2022-10-03,32.19875454463
2022-10-04,61.93994440889
2022-10-05,44.76048016225
2022-10-06,41.02930756008
2022-10-07,123.1535682335
2022-10-08,164.1327052208
2022-10-09,73.06383698562
2022-10-10,225.5278790947
2022-10-11,210.5445079638
2022-10-12,240.2137534005
2022-10-13,193.5033303665
2022-10-14,151.3466990187
2022-10-15,125.2009039987
2022-10-16,174.2593952045
2022-10-17,159.5677687538
2022-10-18,166.4707970162
2022-10-19,208.1850253795
2022-10-20,213.0303819913
2022-10-21,229.9213956092
2022-10-22,230.0660770755
2022-10-23,254.7408355094
2022-10-24,314.0801802167
2022-10-25,303.7975741086
2022-10-26,396.9212918255
2022-10-27,397.0671866349
2022-10-28,439.2219305602
2022-10-29,358.4343202742
2022-10-30,320.8316154285
2022-10-31,419.6826062063
2022-11-01,458.1653535262
2022-11-02,458.3112483356
2022-11-03,411.6017240743
2022-11-04,424.2331173723
2022-11-05,487.8330710493
2022-11-06,407.0444271748
2022-11-07,352.331910897
2022-11-08,441.4845732217
2022-11-09,470.957229759
2022-11-10,399.3983419205
2022-11-11,443.5343015904
2022-11-12,430.775439211
2022-11-13,430.9213100344
2022-11-14,299.0973674146
2022-11-15,320.798584101
2022-11-16,411.7106687365
2022-11-17,401.4443960676
2022-11-18,426.6649059971
2022-11-19,426.6639638919
2022-11-20,424.1702974898
2022-11-21,404.8131976857
2022-11-22,424.1672917256
2022-11-23,297.0354813973
2022-11-24,394.6928406968
2022-11-25,379.7342966696
2022-11-26,404.9547168749
2022-11-27,382.0781443791
2022-11-28,358.1762590774
2022-11-29,348.0571133722
2022-11-30,330.7534654953
2022-12-01,409.3485621259
2022-12-02,392.3370147929
2022-12-03,384.417685322
2022-12-04,352.4502856909
2022-12-05,298.9281682669
2022-12-06,362.8593785569
2022-12-07,286.6088474302
2022-12-08,303.617703034
2022-12-09,279.8611502099
2022-12-10,218.4211837659
2022-12-11,279.8601183804
2022-12-12,229.7096737522
2022-12-13,242.4657995403
2022-12-14,210.3517215672
2022-12-15,276.4830621265
2022-12-16,197.8857223883
2022-12-17,252.4317618915
2022-12-18,233.0611012535
2022-12-19,218.3421227618
2022-12-20,205.8718875188
2022-12-21,208.3233307028
2022-12-22,250.2288336342
2022-12-23,254.7245689628
2022-12-24,257.1769190021
2022-12-25,269.4404203674
2022-12-26,220.4803067711
2022-12-27,222.9328757065
2022-12-28,186.5443942271
2022-12-29,195.6403263038
2022-12-30,239.9979291075
2022-12-31,225.0744056991
2023-01-01,212.5013351221
2023-01-02,235.2935836488
2023-01-03,186.4353985313
2023-01-04,240.0949793303
2023-01-05,303.6682340805
2023-01-06,313.8883501563
2023-01-07,313.9896844885
2023-01-08,306.0160914295
2023-01-09,305.9129746576
2023-01-10,294.5667670594
2023-01-11,235.2843900125
2023-01-12,239.9855458423
2023-01-13,239.9847640705
2023-01-14,299.0611577406
2023-01-15,299.0604072397
2023-01-16,296.7086410317
2023-01-17,264.9206690091
2023-01-18,264.9198559664
2023-01-19,254.5958413469
2023-01-20,294.4571772171
2023-01-21,294.3540917161
2023-01-22,262.5661196935
